user_id,age,count,activity,bot_score_english
15918501,4008,29462,7.350798403,0.43974626
15870251,4008,4561,1.137974052,0.052041514
16078431,4008,46667,11.64346307,0.036791369
15860221,4008,74719,18.64246507,0.020440801
15904661,4008,23063,5.754241517,0.065348223
15854531,4008,1462,0.364770459,0.589614279
15969561,4008,217349,54.22879242,0.046389527
15855701,4008,2252,0.561876248,0.020440801
15870141,4008,28311,7.063622754,0.046389527
16126391,4008,3256,0.81237525,0.018155092
16114141,4008,17863,4.456836327,0.844540781
16318311,4007,13014,3.247816321,0.052041514
16300131,4007,55,0.01372598,0.140148681
16364721,4007,32773,8.17893686,0.01431107
16373911,4007,98871,24.6745695,0.008871873
16314571,4007,3655,0.912153731,0.073132946
16653581,4007,66937,16.70501622,0.300114039
16475631,4007,12949,3.231594709,0.091313128
16356371,4007,463,0.115547791,0.275345669
17133211,4006,2602,0.649525711,0.724507962
17071911,4006,9488,2.368447329,0.025888056
17113981,4006,73661,18.3876685,0.20909234
17125011,4006,1041,0.25986021,0.03273843
16789021,4006,25212,6.293559661,0.018155092
16878841,4006,3728,0.930604094,0.46971728
17143581,4006,8801,2.196954568,0.646615753
16806841,4006,40749,10.17199201,0.011271608
17685311,4005,12949,3.233208489,0.016120766
17184561,4006,58882,14.69845232,0.025888056
17208851,4006,14043,3.505491762,0.908625996
17532981,4005,92124,23.00224719,0.029118466
17286931,4006,13478,3.36445332,0.091313128
17233411,4006,39506,9.861707439,0.410208262
17511361,4005,632,0.157802747,0.974093442
17370721,4005,1940,0.484394507,0.140148681
17391901,4005,103672,25.88564295,0.041324617
17894001,4005,10380,2.5917603,0.052041514
17853161,4005,80925,20.20599251,0.046389527
17969371,4005,16522,4.125343321,0.155362948
18216301,4004,28311,7.070679321,0.036791369
18145041,4004,27947,6.97977023,0.003390916
17888221,4005,35871,8.956554307,0.010000738
18323111,4004,310,0.077422577,0.20909234
18652401,4004,111071,27.74000999,0.229790832
18741401,4004,1411,0.352397602,0.036791369
18731031,4004,3513,0.877372627,0.03273843
18919591,4003,76912,19.21358981,0.381303996
18676621,4004,31031,7.75,0.020440801
18492221,4004,40209,10.04220779,0.091313128
18850131,4003,6259,1.563577317,0.275345669
18982101,4003,111071,27.7469398,0.934606965
19368361,4003,29421,7.349737697,0.065348223
19164871,4003,165354,41.30751936,0.300114039
19345241,4003,13279,3.317262053,0.058339997
19391421,4003,165293,41.29228079,0.113459506
19372211,4003,66,0.016487634,0.918181007
19232291,4003,6804,1.699725206,0.018155092
20079841,4002,6149,1.536481759,0.036791369
19810151,4002,379129,94.73488256,0.155362948
20079541,4002,790,0.197401299,0.010000738
19920891,4002,7232,1.807096452,0.058339997
20031471,4002,9050,2.261369315,0.023007536
19517081,4003,2108,0.526605046,0.140148681
20519631,4001,46296,11.57110722,0.101853892
20640321,4001,64901,16.2211947,0.058339997
20190731,4002,19305,4.823838081,0.140148681
20716151,4001,44049,11.00949763,0.018155092
20195451,4002,2789,0.696901549,0.08176391
20175601,4002,16544,4.133933033,0.00236173
20205171,4002,539,0.134682659,0.012701904
20391721,4001,145684,36.41189703,0.023007536
20600191,4001,4,0.00099975,0.052041514
21000271,4001,13789,3.446388403,0.747976009
21316101,4000,8299,2.07475,0.326107772
21368241,4000,23882,5.9705,0.43974626
20835491,4001,57161,14.28667833,0.03273843
21035421,4001,5500,1.374656336,0.189798832
21132431,4000,10307,2.57675,0.126201693
21553731,4000,71522,17.8805,0.20909234
21880341,3999,7996,1.999499875,0.012701904
22050801,3999,8949,2.237809452,0.058339997
21666101,4000,921,0.23025,0.189798832
21540131,4000,2564,0.641,0.229790832
22103541,3999,3954,0.988747187,0.006979437
21868821,3999,7993,1.998749687,0.155362948
21769081,3999,66074,16.52263066,0.275345669
21902551,3999,413,0.103275819,0.065348223
21913541,3999,21983,5.497124281,0.011271608
22523271,3998,6904,1.726863432,0.041324617
22340251,3999,13954,3.489372343,0.006979437
22981001,3998,988,0.247123562,0.052041514
22198711,3999,28311,7.07951988,0.275345669
22934311,3998,165293,41.34392196,0.058339997
22751101,3998,49170,12.29864932,0.171898658
22962131,3998,133967,33.50850425,0.016120766
22235541,3999,4570,1.142785696,0.020440801
22363501,3998,484526,121.192096,0.941619697
22695521,3998,11879,2.971235618,0.326107772
22219091,3999,80520,20.13503376,0.058339997
23293241,3997,78486,19.63622717,0.140148681
23113701,3998,7849,1.963231616,0.126201693
23803621,3997,2836,0.709532149,0.025888056
